trade,entry_ts,equity_before,pnl_usd,equity_after
5446,1641677580.0,451573753667.98,-3354801199.34,448218952468.64
5447,1641678120.0,448218952468.64,2900569297.39,451119521766.03
5448,1641690000.0,451119521766.03,73627512772.43,524747034538.45
5449,1641692520.0,524747034538.45,-7552837720.99,517194196817.46
5450,1641693780.0,517194196817.46,-573661064.33,516620535753.13
5451,1641696300.0,516620535753.13,16406423509.08,533026959262.21
5452,1641698460.0,533026959262.21,-3625215292.23,529401743969.98
5453,1641699000.0,529401743969.98,2602778628.9,532004522598.88
5454,1641716280.0,532004522598.88,2960145062.22,534964667661.09
5455,1641718260.0,534964667661.09,-7228423543.68,527736244117.41
5456,1641730680.0,527736244117.41,-7628507542.82,520107736574.59
5457,1641731940.0,520107736574.59,2856515498.77,522964252073.36
5458,1641752100.0,522964252073.36,-3340732631.43,519623519441.94
5459,1641778740.0,519623519441.94,13648129426.52,533271648868.46
5460,1641780000.0,533271648868.46,4001167953.08,537272816821.53
5461,1641820680.0,537272816821.53,-3517518018.9,533755298802.63
5462,1641823560.0,533755298802.63,19417372828.36,553172671630.99
5463,1641828060.0,553172671630.99,-3470799066.89,549701872564.11
5464,1641832920.0,549701872564.11,-3286616732.92,546415255831.19
5465,1641848940.0,546415255831.19,-8430226852.04,537985028979.15
5466,1641850200.0,537985028979.15,12922560506.29,550907589485.44
5467,1641852360.0,550907589485.44,2726249466.87,553633838952.31
5468,1641855240.0,553633838952.31,-3404579499.98,550229259452.34
5469,1641855600.0,550229259452.34,-3449529057.79,546779730394.55
5470,1641862440.0,546779730394.55,-3454236336.82,543325494057.73
5471,1641862980.0,543325494057.73,10657548211.68,553983042269.42
5472,1641868380.0,553983042269.42,10495475021.9,564478517291.32
5473,1641869100.0,564478517291.32,-3338898551.88,561139618739.44
5474,1641869640.0,561139618739.44,-801378653.07,560338240086.37
5475,1641870540.0,560338240086.37,-3403281984.87,556934958101.5
5476,1641877920.0,556934958101.5,-3514010174.1,553420947927.4
5477,1641887820.0,553420947927.4,5327459315.5,558748407242.9
5478,1641899880.0,558748407242.9,-3294457280.44,555453949962.46
5479,1641916080.0,555453949962.46,14896593748.89,570350543711.35
5480,1641932820.0,570350543711.35,4037705975.18,574388249686.53
5481,1641935340.0,574388249686.53,8205655882.74,582593905569.27
5482,1641945240.0,582593905569.27,-3280422663.64,579313482905.63
5483,1641956400.0,579313482905.63,3025774709.7,582339257615.33
5484,1641975120.0,582339257615.33,18952560220.02,601291817835.35
5485,1641977100.0,601291817835.35,870710099.31,602162527934.66
5486,1641998340.0,602162527934.66,-3370597825.77,598791930108.89
5487,1641998880.0,598791930108.89,2929344749.54,601721274858.42
5488,1642007520.0,601721274858.42,-8283640972.22,593437633886.21
5489,1642009680.0,593437633886.21,-9535958898.99,583901674987.22
5490,1642010400.0,583901674987.22,-761100146.25,583140574840.97
5491,1642017060.0,583140574840.97,-3743660223.61,579396914617.36
5492,1642017600.0,579396914617.36,2799183090.61,582196097707.97
5493,1642018500.0,582196097707.97,-8654208123.55,573541889584.42
5494,1642051620.0,573541889584.42,3761049540.81,577302939125.24
5495,1642070880.0,577302939125.24,-3509904844.94,573793034280.29
5496,1642071420.0,573793034280.29,-938368348.32,572854665931.97
5497,1642080420.0,572854665931.97,12031391824.35,584886057756.32
5498,1642081680.0,584886057756.32,33093382497.14,617979440253.46
5499,1642085820.0,617979440253.46,-7052904956.9,610926535296.55
5500,1642089600.0,610926535296.55,-6910124992.32,604016410304.23
5501,1642092480.0,604016410304.23,-3575345073.25,600441065230.98
5502,1642093020.0,600441065230.98,648007890.86,601089073121.84
5503,1642096620.0,601089073121.84,16217503990.97,617306577112.81
5504,1642099680.0,617306577112.81,-3399122870.72,613907454242.1
5505,1642101660.0,613907454242.1,-7623161730.1,606284292511.99
5506,1642102200.0,606284292511.99,-3718400249.2,602565892262.79
5507,1642102740.0,602565892262.79,1046171219.98,603612063482.77
5508,1642121820.0,603612063482.77,-7038330191.68,596573733291.09
5509,1642122900.0,596573733291.09,298735881.41,596872469172.5
5510,1642124340.0,596872469172.5,-3408045925.99,593464423246.51
5511,1642126500.0,593464423246.51,-8745440528.78,584718982717.73
5512,1642126860.0,584718982717.73,-3306251602.15,581412731115.58
5513,1642127400.0,581412731115.58,2658254979.73,584070986095.32
5514,1642127400.0,584070986095.32,159110769.62,584230096864.94
5515,1642154580.0,584230096864.94,-3467901326.2,580762195538.74
5516,1642172580.0,580762195538.74,-3303295108.35,577458900430.39
5517,1642173120.0,577458900430.39,94006334.0,577552906764.39
5518,1642179060.0,577552906764.39,30950444712.33,608503351476.73
5519,1642188780.0,608503351476.73,-8128060489.6,600375290987.13
5520,1642190580.0,600375290987.13,144017509.56,600519308496.69
5521,1642206600.0,600519308496.69,-3635135258.69,596884173238.0
5522,1642207140.0,596884173238.0,2901413608.94,599785586846.93
5523,1642209300.0,599785586846.93,-3403127630.05,596382459216.88
5524,1642209840.0,596382459216.88,595242728.75,596977701945.63
5525,1642340520.0,596977701945.63,6759480263.69,603737182209.32
5526,1642342140.0,603737182209.32,-3552492892.01,600184689317.31
5527,1642342680.0,600184689317.31,2883882206.75,603068571524.06
5528,1642437360.0,603068571524.06,5688198568.95,608756770093.01
5529,1642462380.0,608756770093.01,6077667594.43,614834437687.44
5530,1642469220.0,614834437687.44,59373407233.92,674207844921.36
5531,1642469580.0,674207844921.36,11191030124.04,685398875045.4
5532,1642482000.0,685398875045.4,2942471864.93,688341346910.32
5533,1642490820.0,688341346910.32,-4151636100.32,684189710810.0
5534,1642492620.0,684189710810.0,2668669304.23,686858380114.23
5535,1642499100.0,686858380114.23,-3616251069.07,683242129045.16
5536,1642514040.0,683242129045.16,-8037373798.4,675204755246.76
5537,1642528440.0,675204755246.76,6727764620.72,681932519867.48
5538,1642531140.0,681932519867.48,-3462008660.64,678470511206.84
5539,1642574700.0,678470511206.84,64317029233.65,742787540440.49
5540,1642577940.0,742787540440.49,14200127455.8,756987667896.29
5541,1642580100.0,756987667896.29,-3458450090.42,753529217805.87
5542,1642597020.0,753529217805.87,1644890758.29,755174108564.16
5543,1642599720.0,755174108564.16,-8206903365.47,746967205198.68
5544,1642613040.0,746967205198.68,-3411324066.31,743555881132.37
5545,1642630860.0,743555881132.37,-3402658585.44,740153222546.93
5546,1642639140.0,740153222546.93,-7802739835.77,732350482711.16
5547,1642640940.0,732350482711.16,2877985751.96,735228468463.12
5548,1642713660.0,735228468463.12,52511547171.81,787740015634.93
5549,1642716720.0,787740015634.93,-7029759771.65,780710255863.28
5550,1642721760.0,780710255863.28,-3263624719.64,777446631143.65
5551,1642722300.0,777446631143.65,2898872931.13,780345504074.78
5552,1642745700.0,780345504074.78,5466710662.02,785812214736.8
5553,1642750380.0,785812214736.8,-3442840453.82,782369374282.98
5554,1642750380.0,782369374282.98,-8093935028.14,774275439254.85
5555,1642750740.0,774275439254.85,-3258997501.19,771016441753.66
5556,1642751280.0,771016441753.66,421684162.73,771438125916.38
5557,1642751280.0,771438125916.38,-462884849.81,770975241066.57
5558,1642755060.0,770975241066.57,-3356070799.59,767619170266.98
5559,1642756500.0,767619170266.98,-3556552728.82,764062617538.16
5560,1642756680.0,764062617538.16,-8160303827.98,755902313710.18
5561,1642757040.0,755902313710.18,-7972374412.13,747929939298.05
5562,1642760280.0,747929939298.05,16309607375.25,764239546673.31
5563,1642761540.0,764239546673.31,-7795738086.41,756443808586.9
5564,1642764060.0,756443808586.9,4049822069.03,760493630655.94
5565,1642784940.0,760493630655.94,8743825448.49,769237456104.43
5566,1642786380.0,769237456104.43,11528418348.38,780765874452.81
5567,1642787640.0,780765874452.81,-3402425295.86,777363449156.94
5568,1642788180.0,777363449156.94,2885287584.41,780248736741.36
5569,1642791420.0,780248736741.36,2490651574.14,782739388315.5
5570,1642792140.0,782739388315.5,782066538.83,783521454854.32
5571,1642800780.0,783521454854.32,12463194253.18,795984649107.5
5572,1642802940.0,795984649107.5,52711374347.21,848696023454.71
5573,1642804560.0,848696023454.71,19850314745.95,868546338200.66
5574,1642812660.0,868546338200.66,3747681925.58,872294020126.24
5575,1642812840.0,872294020126.24,-3257906064.24,869036114062.0
5576,1642822020.0,869036114062.0,31994188601.15,901030302663.15
5577,1642825620.0,901030302663.15,8878718360.41,909909021023.56
5578,1642828680.0,909909021023.56,797207258.31,910706228281.87
5579,1642830660.0,910706228281.87,11204808348.13,921911036630.0
5580,1642852800.0,921911036630.0,-3206539043.43,918704497586.57
5581,1642877820.0,918704497586.57,-6969584341.67,911734913244.9
5582,1642890240.0,911734913244.9,5124404373.28,916859317618.17
5583,1642903560.0,916859317618.17,10782414881.42,927641732499.59
5584,1642907160.0,927641732499.59,-3421349451.84,924220383047.75
5585,1642910580.0,924220383047.75,-3380774126.26,920839608921.48
5586,1642910580.0,920839608921.48,-3283510852.02,917556098069.47
5587,1642911120.0,917556098069.47,619630986.08,918175729055.54
5588,1642911300.0,918175729055.54,-108914306.39,918066814749.15
5589,1642918860.0,918066814749.15,8798805879.07,926865620628.22
5590,1642919400.0,926865620628.22,9136569294.73,936002189922.96
5591,1642939920.0,936002189922.96,-3151810133.97,932850379788.98
5592,1642951620.0,932850379788.98,-595390088.06,932254989700.92
5593,1642953960.0,932254989700.92,-3326022790.49,928928966910.44
5594,1642956660.0,928928966910.44,-2709379745.53,926219587164.9
5595,1642957200.0,926219587164.9,-3228949358.94,922990637805.96
5596,1642957740.0,922990637805.96,683849888.96,923674487694.92
5597,1642959000.0,923674487694.92,-3517473895.62,920157013799.31
