month,events,wr,start_eq,end_eq,profit,return_pct,maxdd_pct,pf,reverse_events
2024-01,134,0.3283582089552239,1003194504.179995,1508644348.201063,505449844.021068,50.3840324,2.533045296360068,2.8469913251363153,21
2024-02,160,0.30625,1508644348.201063,1699856761.0163856,191212412.81532264,12.674452599999997,4.391546164576466,1.4063035751831772,23
2024-03,149,0.3221476510067114,1699856761.0163856,2827922230.512185,1128065469.4957995,66.36238390000003,6.043480728979497,2.6602190862087127,23
2024-04,136,0.29411764705882354,2827922230.512185,3488809370.9177155,660887140.4055305,23.370060650000003,6.430649817716129,1.7130511071357453,28
2024-05,140,0.2714285714285714,3488809370.9177155,4147582247.861083,658772876.9433675,18.882455500000006,7.8219356872111385,1.5994277225522917,29
2024-06,145,0.3310344827586207,4147582247.8610826,5794255924.27324,1646673676.4121575,39.7020138,4.524619364443608,2.4896305333916464,28
2024-07,132,0.3333333333333333,5794255924.273241,8883641478.532898,3089385554.259657,53.31807215000002,2.4197545272962726,3.2284098652237456,25
2024-08,143,0.3916083916083916,8883641478.532898,14354618935.297997,5470977456.765099,61.58485200000001,2.270184233993099,3.348361597351277,21
2024-09,154,0.2922077922077922,14354618935.297995,17115567019.996124,2760948084.6981297,19.233865400000006,5.135289958827323,1.5743291660221261,36
2024-10,131,0.3053435114503817,17115567019.996126,21832001173.083256,4716434153.08713,27.55640024999999,3.843008596644268,2.0068104204044537,24
2024-11,158,0.33544303797468356,21832001173.08326,31990518166.619564,10158516993.536304,46.53039779999999,3.1601940153874124,2.3194359249522485,27
2024-12,142,0.33098591549295775,31990518166.619564,47635863346.70169,15645345180.082127,48.90619494999999,3.0152657224710167,2.559761159375103,24
2025-01,138,0.3695652173913043,47635863346.70169,68702695890.397766,21066832543.696075,44.22473124999999,2.7017475844688663,2.393727211535265,29
2025-02,138,0.2826086956521739,68702695890.39776,91521379492.91672,22818683602.51896,33.2136655,6.7948998485561765,1.9547973404340069,23
2025-03,133,0.3383458646616541,91521379492.91672,137444264389.0869,45922884896.1702,50.17722105,3.7028453444483875,2.740294883946805,21
2025-04,165,0.3696969696969697,137444264389.0869,217968383090.90524,80524118701.81833,58.586743549999994,2.8067769067929547,2.804902532549165,32
2025-05,152,0.3355263157894737,217968383090.90524,329974919658.9603,112006536568.05508,51.3865979,4.751886394552556,2.7753035901893006,24
2025-06,127,0.2755905511811024,329974919658.9603,429252459734.8296,99277540075.86926,30.08638965000001,4.701234696147831,2.068049623919148,25
2025-07,175,0.33714285714285713,429252459734.8296,538633657002.0934,109381197267.2638,25.481786949999986,5.755203104973215,1.7366695847105396,38
2025-08,151,0.2847682119205298,538633657002.0935,626043484782.4583,87409827780.36475,16.22806644999999,4.887050064446374,1.4536600441792005,23
2025-09,156,0.3525641025641026,626043484782.4583,915227618255.9109,289184133473.45264,46.19233974999999,3.4538977209605326,2.6097559326233024,27
2025-10,140,0.25,915227618255.9109,1006388369118.9218,91160750863.01086,9.960445799999995,6.445705647305121,1.2811493012416029,22
2025-11,130,0.3153846153846154,1006388369118.9219,1465245102153.3438,458856733034.4219,45.59439945000001,5.959170624258848,2.980774756223943,19
2025-12,159,0.25157232704402516,1465245102153.3438,1731052585287.401,265807483134.05713,18.140820450000007,4.6535490425982,1.5378206097832547,34
2026-01,108,0.28703703703703703,1731052585287.401,2092687323564.7773,361634738277.37646,20.891031350000013,3.223534000445094,1.8658019838572542,23
2026-02,143,0.32167832167832167,2092687323564.7776,2691624969110.66,598937645545.8826,28.620503349999993,6.1658026715012495,1.8063371198990101,27
2026-03,148,0.2702702702702703,2691624969110.66,3349549489537.382,657924520426.7217,24.443394900000005,6.121448298376054,1.7354618661405337,30
2026-04,127,0.2677165354330709,3349549489537.382,3484261302457.1523,134711812919.77051,4.021789000000009,4.773603325697715,1.1903361408716564,29
2026-05,124,0.33064516129032256,3484261302457.1523,4561337533957.929,1077076231500.7764,30.91261355000001,6.581417293100916,2.2850568289742386,22
2026-06,82,0.3170731707317073,4561337533957.929,5818336868962.4375,1256999335004.5088,27.5576917,2.7938838927989456,2.6911519484193245,11
